Contest ID,Entry ID,PG,SG,G,SF,PF,F,C,UTIL," ",Instructions,ID,First Name,Last Name,ID + Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.5858$nba.g.2374075,Dillon,Brooks,nba.p.5858$nba.g.2374075 - Dillon Brooks,SG,MEM,GS,MEM@GS,10:00PM EDT,24,28.0,INJ," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6015$nba.g.2374075,Jaren,Jackson Jr.,nba.p.6015$nba.g.2374075 - Jaren Jackson Jr.,PF,MEM,GS,MEM@GS,10:00PM EDT,24,26.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6057$nba.g.2374075,De'Anthony,Melton,nba.p.6057$nba.g.2374075 - De'Anthony Melton,SG,MEM,GS,MEM@GS,10:00PM EDT,15,26.9," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6164$nba.g.2374075,Ja,Morant,nba.p.6164$nba.g.2374075 - Ja Morant,PG,MEM,GS,MEM@GS,10:00PM EDT,35,49.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6168$nba.g.2374075,Jarrett,Culver,nba.p.6168$nba.g.2374075 - Jarrett Culver,SF,MEM,GS,MEM@GS,10:00PM EDT,10,2.2," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6209$nba.g.2374075,Brandon,Clarke,nba.p.6209$nba.g.2374075 - Brandon Clarke,PF,MEM,GS,MEM@GS,10:00PM EDT,10,13.0," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6255$nba.g.2374075,John,Konchar,nba.p.6255$nba.g.2374075 - John Konchar,SF,MEM,GS,MEM@GS,10:00PM EDT,10,12.8," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6422$nba.g.2374075,Desmond,Bane,nba.p.6422$nba.g.2374075 - Desmond Bane,SF,MEM,GS,MEM@GS,10:00PM EDT,13,31.6," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6427$nba.g.2374075,Xavier,Tillman,nba.p.6427$nba.g.2374075 - Xavier Tillman,C,MEM,GS,MEM@GS,10:00PM EDT,10,16.4," "," "
" "," "," "," "," "," "," "," "," "," "," "," ",nba.p.6452$nba.g.2374075,Sam,Merrill,nba.p.6452$nba.g.2374075 - Sam Merrill,SG,MEM,GS,MEM@GS,10:00PM EDT,10,9.0," "," "
